               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.052247,            0.016493,            0.007274,             0.63754,             0.50765,             0.53012,             0.21456,            0.048229,            0.012498,           0.0056458,           0.0088188,           0.0088188,           0.0088188
                 120,            0.053042,            0.015955,           0.0078668,             0.51496,             0.50328,             0.48477,             0.18828,              0.0499,            0.013237,           0.0065596,           0.0087996,           0.0087996,           0.0087996
                 121,            0.053181,            0.016699,           0.0082519,             0.65688,             0.51256,             0.53519,             0.22368,              0.0454,            0.012748,            0.006174,           0.0087804,           0.0087804,           0.0087804
                 122,             0.04986,            0.016269,           0.0078562,             0.64919,             0.52711,             0.54914,              0.2321,            0.044909,            0.012632,            0.005644,           0.0087609,           0.0087609,           0.0087609
                 123,            0.049603,            0.015982,            0.007258,             0.58629,             0.55002,             0.54441,             0.22842,            0.046328,            0.012571,           0.0060731,           0.0087414,           0.0087414,           0.0087414
                 124,            0.049954,            0.016934,           0.0075216,             0.67131,             0.44645,              0.5036,             0.21196,              0.0448,             0.01271,           0.0058229,           0.0087217,           0.0087217,           0.0087217
                 125,             0.04949,            0.015526,           0.0084821,             0.63831,             0.52309,             0.54736,             0.22484,            0.044979,             0.01276,           0.0054032,           0.0087019,           0.0087019,           0.0087019
                 126,            0.051494,            0.016023,           0.0066199,             0.63473,             0.52207,             0.53445,             0.22063,            0.045701,            0.012806,           0.0053639,            0.008682,            0.008682,            0.008682
                 127,            0.050697,            0.015923,           0.0064412,             0.67681,             0.53024,             0.55768,             0.24628,            0.043751,             0.01251,           0.0048783,           0.0086619,           0.0086619,           0.0086619
                 128,            0.049367,             0.01711,           0.0059139,              0.6411,             0.57204,             0.57828,             0.23563,             0.04565,            0.012395,           0.0051826,           0.0086417,           0.0086417,           0.0086417
                 129,             0.04963,            0.015292,           0.0073771,             0.63425,             0.54372,             0.56162,             0.23344,            0.044245,            0.012596,           0.0048999,           0.0086214,           0.0086214,           0.0086214
                 130,            0.048534,             0.01688,           0.0064848,             0.70885,             0.54053,             0.58998,             0.24267,             0.04341,             0.01214,            0.004688,            0.008601,            0.008601,            0.008601
                 131,            0.049292,            0.015768,           0.0064116,             0.64688,             0.57061,             0.56563,             0.23402,            0.044569,            0.012245,           0.0043605,           0.0085805,           0.0085805,           0.0085805
                 132,            0.051605,             0.01604,           0.0069193,             0.65691,             0.54951,             0.57341,             0.22165,             0.04634,            0.012434,           0.0046396,           0.0085598,           0.0085598,           0.0085598
                 133,            0.051121,            0.015228,           0.0058889,             0.73115,             0.58735,             0.62241,             0.26247,            0.042305,            0.011975,           0.0044252,            0.008539,            0.008539,            0.008539
                 134,             0.05056,             0.01535,           0.0062862,             0.67785,             0.55169,             0.58852,             0.25176,            0.043231,            0.012294,           0.0046557,           0.0085181,           0.0085181,           0.0085181
                 135,            0.047641,            0.015584,           0.0062366,              0.6609,             0.52592,              0.5663,              0.2345,            0.043683,            0.012747,           0.0052298,           0.0084971,           0.0084971,           0.0084971
                 136,            0.049309,             0.01643,           0.0064771,              0.6476,             0.54208,             0.56145,             0.23517,            0.043894,            0.012491,           0.0045739,           0.0084759,           0.0084759,           0.0084759
                 137,            0.046876,            0.016228,           0.0067445,             0.76322,             0.51287,             0.58679,              0.2543,            0.042473,            0.012162,            0.004586,           0.0084546,           0.0084546,           0.0084546
                 138,            0.048034,            0.016013,           0.0058498,             0.69118,             0.57487,             0.60742,             0.24995,            0.042618,            0.011938,           0.0044754,           0.0084333,           0.0084333,           0.0084333
                 139,            0.049221,             0.01587,             0.00654,             0.66967,             0.52032,             0.54758,             0.23061,            0.046289,            0.012602,           0.0050839,           0.0084118,           0.0084118,           0.0084118
                 140,            0.047755,            0.015609,           0.0052992,             0.77576,             0.55189,             0.60438,             0.26034,            0.042868,            0.011987,           0.0042856,           0.0083901,           0.0083901,           0.0083901
                 141,             0.04837,            0.016082,           0.0067899,             0.77525,             0.55472,             0.62405,              0.2682,            0.041809,            0.012513,             0.00435,           0.0083684,           0.0083684,           0.0083684
                 142,            0.046999,             0.01517,           0.0066323,             0.73348,             0.54706,             0.60837,             0.27091,            0.042223,            0.012032,           0.0043841,           0.0083466,           0.0083466,           0.0083466
                 143,            0.047648,            0.014924,           0.0059847,             0.76147,             0.59235,             0.63782,             0.27921,            0.043676,            0.011787,           0.0041256,           0.0083246,           0.0083246,           0.0083246
                 144,            0.050493,            0.016307,           0.0059633,             0.70477,             0.62441,             0.64527,             0.28908,            0.041737,            0.011966,           0.0041735,           0.0083025,           0.0083025,           0.0083025
                 145,            0.048364,             0.01611,           0.0049344,             0.67948,             0.61753,             0.62995,             0.27137,            0.041848,            0.011932,           0.0041741,           0.0082804,           0.0082804,           0.0082804
                 146,             0.04691,            0.015264,           0.0053443,             0.70754,             0.61798,             0.63197,             0.27536,            0.041743,            0.011839,             0.00375,           0.0082581,           0.0082581,           0.0082581
                 147,            0.048858,            0.015605,           0.0058958,             0.69232,             0.61036,             0.62728,             0.26528,              0.0419,            0.011965,           0.0038376,           0.0082357,           0.0082357,           0.0082357
                 148,            0.047377,            0.015772,            0.005314,             0.74058,              0.5815,              0.6348,             0.28856,            0.040412,            0.011849,           0.0038812,           0.0082132,           0.0082132,           0.0082132
                 149,             0.04772,            0.015447,            0.006073,             0.80021,             0.57698,             0.66178,              0.2985,            0.040434,            0.011741,           0.0035048,           0.0081906,           0.0081906,           0.0081906
